Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,IYR,VOX,SPY
2001-07-06,626800.0,2676000.0,1318032.0,178100.0,3361000.0,344800.0,359800.0,42400.0,382200.0,66400.0,,29009100.0
2001-07-13,507400.0,1724200.0,12383737.0,74900.0,4362600.0,186100.0,164000.0,66100.0,665400.0,275400.0,,54735200.0
2001-07-20,476200.0,3659200.0,2375954.0,76200.0,7943600.0,250100.0,417000.0,61000.0,1068000.0,300800.0,,38883100.0
2001-07-27,590400.0,1560600.0,839542.0,245900.0,3309000.0,183100.0,449600.0,64500.0,400600.0,599000.0,,53799700.0
2001-08-03,413400.0,3052400.0,706594.0,87700.0,2650600.0,176800.0,188200.0,61500.0,387000.0,60800.0,,54293000.0
2001-08-10,397200.0,2548800.0,3297972.0,74400.0,5048200.0,105400.0,287600.0,73400.0,771000.0,223000.0,,57890800.0
2001-08-17,445000.0,2294400.0,1415774.0,173900.0,2629400.0,400500.0,250200.0,49200.0,2304400.0,538200.0,,51469600.0
2001-08-24,469000.0,1837400.0,5797395.0,101800.0,2992000.0,411600.0,274600.0,168700.0,1225600.0,778800.0,,57082300.0
2001-08-31,227400.0,2242000.0,5025435.0,162300.0,5617600.0,836000.0,698400.0,262400.0,530800.0,303000.0,,69329700.0
2001-09-07,308400.0,2886800.0,6745634.0,155100.0,4590000.0,404800.0,1150200.0,201500.0,1948200.0,416200.0,,100737400.0
2001-09-14,111400.0,1168600.0,835357.0,8400.0,1157200.0,251900.0,23400.0,24000.0,439600.0,34000.0,,23408700.0
2001-09-21,446000.0,10002400.0,8425211.0,415700.0,16851800.0,3618300.0,2676600.0,156000.0,2377800.0,267200.0,,183182700.0
2001-09-28,460600.0,8846000.0,2656623.0,206200.0,11165200.0,1528000.0,364400.0,1849300.0,1860800.0,280200.0,,111827300.0
2001-10-05,307000.0,794200.0,10498952.0,93500.0,10705800.0,336700.0,195600.0,226200.0,777200.0,792000.0,,134806500.0
2001-10-12,413000.0,2869800.0,13121106.0,126000.0,8972800.0,335800.0,2401400.0,137200.0,784000.0,396000.0,,103300800.0
2001-10-19,2086800.0,7847800.0,5126500.0,316200.0,12724000.0,330600.0,424800.0,119700.0,198400.0,63400.0,,99714900.0
2001-10-26,286600.0,8522400.0,2084452.0,54700.0,9503600.0,2141900.0,550800.0,75500.0,136600.0,243000.0,,101759500.0
2001-11-02,158200.0,5877600.0,3482623.0,107100.0,8893600.0,296200.0,453000.0,608300.0,1845600.0,207000.0,,120413000.0
2001-11-09,1072600.0,6929200.0,2397496.0,153700.0,17040400.0,222800.0,437000.0,105500.0,649400.0,287000.0,,97350600.0
2001-11-16,718400.0,27150400.0,1827912.0,186300.0,14189800.0,290000.0,4233000.0,201100.0,1111200.0,164800.0,,96541400.0
2001-11-23,260000.0,7418400.0,1449626.0,237800.0,23035600.0,204700.0,166800.0,159900.0,1008000.0,81600.0,,48022400.0
2001-11-30,482600.0,5228200.0,3082547.0,563800.0,24163600.0,1444000.0,1656000.0,207300.0,3576000.0,86600.0,,83217900.0
