model,date,etf,rank,predicted_return,top3_mean_pred,filter_threshold,passes_filter,actual_return,short_pnl_ew,direction_correct
LightGBM,2023-08-25,XLF,10,-0.002993,0.000421,-0.000421,True,-0.019762,0.006587,True
LightGBM,2023-09-29,XLE,11,-0.000784,0.003192,-0.003192,False,-0.063724,0.0,True
LightGBM,2023-09-29,XLP,10,-0.000643,0.003192,-0.003192,False,-0.032408,0.0,True
LightGBM,2023-09-29,XLY,9,-0.000614,0.003192,-0.003192,False,-0.070754,0.0,True
LightGBM,2023-10-27,VOX,9,-0.001988,0.004629,-0.004629,False,0.127495,0.0,False
LightGBM,2023-10-27,XLF,10,-0.002946,0.004629,-0.004629,False,0.12496,0.0,False
LightGBM,2023-10-27,XLK,11,-0.003252,0.004629,-0.004629,False,0.144551,0.0,False
LightGBM,2023-11-24,IYR,10,-0.002817,-0.000925,0.000925,True,0.116681,-0.038894,False
LightGBM,2023-11-24,XLK,11,-0.004162,-0.000925,0.000925,True,0.046064,-0.015355,False
LightGBM,2023-11-24,XLU,9,-0.002413,-0.000925,0.000925,True,0.019726,-0.006575,False
LightGBM,2023-12-29,XLF,10,-0.001979,-6.7e-05,6.7e-05,True,0.027926,-0.009309,False
LightGBM,2023-12-29,XLI,9,-0.001827,-6.7e-05,6.7e-05,True,-0.004913,0.001638,True
LightGBM,2023-12-29,XLP,11,-0.002042,-6.7e-05,6.7e-05,True,0.00833,-0.002777,False
LightGBM,2024-01-26,IYR,11,-0.008124,-0.001673,0.001673,True,-0.000456,0.000152,True
LightGBM,2024-01-26,XLB,9,-0.006064,-0.001673,0.001673,True,0.052357,-0.017452,False
LightGBM,2024-01-26,XLV,10,-0.006389,-0.001673,0.001673,True,0.061679,-0.02056,False
LightGBM,2024-02-23,IYR,9,-0.001274,-0.000251,0.000251,True,0.028171,-0.00939,False
LightGBM,2024-02-23,XLI,11,-0.001695,-0.000251,0.000251,True,0.050984,-0.016995,False
LightGBM,2024-02-23,XLK,10,-0.001579,-0.000251,0.000251,True,0.016192,-0.005397,False
LightGBM,2024-03-29,XLB,10,-0.001578,0.000816,-0.000816,True,-0.03628,0.012093,True
LightGBM,2024-03-29,XLE,9,-0.001578,0.000816,-0.000816,True,0.014087,-0.004696,False
