date,etf,ret_1m,ret_3m,ret_6m,ret_12m,momentum_12_1,vol_6m,Unemployment,FedFunds,YieldSpread,CPI_YoY,IndProd_YoY,Unemp_Chg,FedFunds_Chg,Mkt-RF,SMB,HML,RMW,CMA,RF,spy_return,target,market_regime
2020-02-29,XLE,-0.1528817440308031,-0.2077185775245492,-0.1737410250977307,-0.2698115764598243,-0.1169298324290212,0.2476283488604135,3.5,1.58,0.27,0.0234131667975951,-0.0142322177502087,-0.1,0.03,-0.0815,0.0008,-0.0382,-0.0143,-0.0253,0.0012,-0.079165577202679,-0.358073712583419,1
2020-03-31,XLE,-0.358073712583419,-0.5853199994103336,-0.5617381954989535,-0.6412184680080564,-0.2831447554246373,0.5027380484152442,4.4,0.65,0.47,0.0149403996429091,-0.0531505496438906,0.9000000000000004,-0.93,-0.1335,-0.0818,-0.1383,-0.0161,0.0118999999999999,0.0012,-0.1299871469138991,0.3368999826128489,0
2020-04-30,XLE,0.3368999826128489,-0.1740554740013732,-0.2128468532382851,-0.3120091427659086,-0.6489091253787576,0.7955518120474387,14.8,0.05,0.44,0.0031304729404111,-0.173182822613763,10.4,-0.6,0.1358,0.0256999999999999,-0.0134,0.0276,-0.0102,0.0,0.1336102568064892,0.0200001809141057,0
2020-05-31,XLE,0.0200001809141057,-0.0011735490564643,-0.2088921265810136,-0.1809818192135485,-0.2009820001276542,0.7961858778756487,13.2,0.05,0.49,0.0019820130358485,-0.1604773810453941,-1.6000000000000014,0.0,0.0559,0.0192,-0.05,0.0096,-0.0316,0.0001,0.0476456315548561,-0.0234779608183229,0
2020-06-30,XLE,-0.0234779608183229,0.3334222027086316,-0.251897796701702,-0.2885163660077821,-0.2650384051894591,0.7914499605578216,11.0,0.08,0.5,0.0071665628318304,-0.1058606467358145,-2.2,0.03,0.0243999999999999,0.0195,-0.0217,0.0014,0.0055,0.0001,0.0132750574052122,-0.0358777241881456,1
2020-07-31,XLE,-0.0358777241881456,-0.0393555040923628,-0.2134109780937361,-0.3175240186691085,-0.2816462944809629,0.7895400204639575,10.2,0.09,0.44,0.0099686476258979,-0.0678354495942743,-0.8000000000000007,0.0099999999999999,0.0583,-0.0319,-0.0144,0.0038,0.0097,0.0001,0.0635520127674369,-0.0105467481732585,1
2020-08-31,XLE,-0.0105467481732585,-0.0699024331797271,-0.0710759822361914,-0.2448170073339222,-0.2342702591606636,0.7640304961296853,8.4,0.1,0.58,0.0128106984955238,-0.0651224193532672,-1.799999999999999,0.01,0.0762,-0.0089,-0.0302,0.0426999999999999,-0.0151,0.0001,0.0697966947578532,-0.1598877822569424,1
2020-09-30,XLE,-0.1598877822569424,-0.2063122546183465,0.127109948090285,-0.4346282474086684,-0.274740465151726,0.5770044261592384,7.8,0.09,0.56,0.0139102289123738,-0.061831018547937,-0.6000000000000005,-0.01,-0.0364,-0.0001,-0.0272,-0.0138,-0.0192999999999999,0.0001,-0.0412813051572448,-0.025292217453131,1
2020-10-31,XLE,-0.025292217453131,-0.195726747883332,-0.2350822519756948,-0.44792910521398,-0.4226368877608489,0.21545963065306,6.9,0.09,0.74,0.0123038634286716,-0.0462268345754283,-0.8999999999999995,0.0,-0.0208,0.0467,0.0425,-0.0077,-0.0056999999999999,0.0001,-0.0210304247671567,0.2799440923341512,1
2020-11-30,XLE,0.2799440923341512,0.0947640926240777,0.0248616594443505,-0.184030467136663,-0.4639745594708142,0.50537701560862,6.7,0.09,0.68,0.0117574521384058,-0.0476332487060662,-0.2000000000000001,0.0,0.1244,0.0712,0.0209,-0.0225,0.0128,0.0001,0.1087767171466318,0.031012015494225,1
2020-12-31,XLE,0.031012015494225,0.2856638903752452,0.0793516357568986,-0.1725461609448033,-0.2035581764390284,0.504102934941539,6.7,0.09,0.8,0.0132041913157794,-0.0328150457766595,0.0,0.0,0.0463,0.0493,-0.0168,-0.0197,-0.0006,0.0001,0.0326465862718174,0.0513428637348087,1
2021-01-31,XLE,0.0513428637348087,0.362298971563185,0.166572223679853,-0.046838754413883,-0.0981816181486918,0.498775729288726,6.4,0.09,1.0,0.0137384371370024,-0.0212958435691817,-0.2999999999999998,0.0,-0.0007,0.0681,0.0322,-0.0365,0.0496999999999999,0.0,-0.0059709744395647,0.2245674089210694,1
2021-02-28,XLE,0.2245674089210694,0.3069222881501032,0.4016863807741809,0.3306103985379894,0.10604298961692,0.5622288327846227,6.2,0.08,1.3,0.0166981677917068,-0.0568057727118034,-0.2000000000000001,-0.0099999999999999,0.0281,0.045,0.072,0.0033,-0.0199,0.0,0.0278053598309502,0.018899472762927,2
2021-03-31,XLE,0.018899472762927,0.2948097454188052,0.5804736357940504,0.7075835838843355,0.6886841111214085,0.4305410459491329,6.1,0.07,1.58,0.0266781878206419,0.0100382104923835,-0.1000000000000005,-0.0099999999999999,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,0.041986383612202,0.0174077591558448,2
2021-04-30,XLE,0.0174077591558448,0.2608746408398412,0.6231736124030263,0.3880913604273314,0.3706836012714866,0.4049682822961564,6.1,0.07,1.49,0.0413307711536057,0.1655213518144698,0.0,0.0,0.0496999999999999,-0.0316,-0.0102,0.0243,-0.0272,0.0,0.0563589824004799,0.0570965640857803,2
2021-05-31,XLE,0.0570965640857803,0.0934037960045521,0.4003260841546554,0.425187743599006,0.3680911795132257,0.2738105830615353,5.8,0.06,1.44,0.0491825708946762,0.1567337983536605,-0.2999999999999998,-0.01,0.0029,0.0127,0.0704,0.0233999999999999,0.0301,0.0,0.0065660953905208,0.0317946722214541,2
2021-06-30,XLE,0.0317946722214541,0.1062989954630793,0.4011087408818845,0.4804603766387831,0.448665704417329,0.2735677441468041,5.9,0.08,1.2,0.0529563262034999,0.0895839656569141,0.1000000000000005,0.02,0.0273,-0.003,-0.0786,-0.0214,-0.0093,0.0,0.0190934629436891,-0.07379317653444,2
